batch_idx,detector
0,ADWIN
0,PageHinkley
1,ADWIN
1,PageHinkley
2,ADWIN
2,PageHinkley
3,ADWIN
3,PageHinkley
4,ADWIN
4,PageHinkley
5,ADWIN
5,PageHinkley
6,ADWIN
6,PageHinkley
7,ADWIN
7,PageHinkley
8,ADWIN
8,PageHinkley
9,ADWIN
9,PageHinkley
10,ADWIN
10,PageHinkley
11,ADWIN
11,PageHinkley
12,ADWIN
12,PageHinkley
13,ADWIN
13,PageHinkley
14,ADWIN
14,PageHinkley
15,ADWIN
15,PageHinkley
16,ADWIN
16,PageHinkley
17,ADWIN
17,PageHinkley
18,ADWIN
18,PageHinkley
19,ADWIN
19,PageHinkley
20,ADWIN
20,PageHinkley
21,ADWIN
21,PageHinkley
22,ADWIN
22,PageHinkley
23,ADWIN
23,PageHinkley
24,ADWIN
24,PageHinkley
25,ADWIN
25,PageHinkley
26,ADWIN
26,PageHinkley
27,ADWIN
27,PageHinkley
28,ADWIN
28,PageHinkley
29,ADWIN
29,PageHinkley
