batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
0,rf,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.9995002498750625
0,xgb,0.998,0.998003992015968,0.9960159362549801,1.0,0.998,0.9960079680956173,0.998003992015968
0,sgd_static,0.975,0.9745934959349594,0.9907024793388429,0.959,0.975,0.950486773874253,0.9745934959349594
0,sgd_adaptive,0.975,0.9745934959349594,0.9907024793388429,0.959,0.975,0.950486773874253,0.9745934959349594
0,ensemble,0.997,0.9970089730807578,0.9940357852882704,1.0,0.997,0.9940178924830985,0.9970089730807578
1,rf,0.9975,0.9975012493753124,0.997002997002997,0.998,0.9975,0.9950004975003731,0.99880059970015
1,xgb,0.997,0.9970059880239521,0.9950199203187251,0.999,0.997,0.9940079520954253,0.9976546906187624
1,sgd_static,0.972,0.9717741935483871,0.9796747967479674,0.964,0.972,0.9441208552046944,0.9736067400996591
1,sgd_adaptive,0.9835,0.983751846381093,0.9689621726479146,0.999,0.9835,0.9674649786602209,0.9777989185911062
1,ensemble,0.991,0.9910714285714286,0.9832677165354331,0.999,0.991,0.9821257201387816,0.9949308325024926
2,rf,0.9975,0.9975037443834248,0.996011964107677,0.999,0.9975,0.9950044775302233,0.9983467003392963
2,xgb,0.997,0.997,0.997,0.997,0.997,0.994,0.9974255489021957
2,sgd_static,0.9705,0.9701568032372281,0.9815762538382804,0.959,0.9704999999999999,0.9412489932924448,0.9723992621978084
2,sgd_adaptive,0.978,0.9784102060843964,0.9605009633911368,0.997,0.978,0.9566909804219113,0.9780128692137579
2,ensemble,0.991,0.9910714285714286,0.9832677165354331,0.999,0.991,0.9821257201387816,0.9935800411266202
3,rf,0.996,0.996003996003996,0.9950099800399201,0.997,0.996,0.9920019840059521,0.9975267538219412
3,xgb,0.9955,0.9955067398901648,0.9940179461615155,0.997,0.9955,0.9910044595301017,0.9967539657479849
3,sgd_static,0.973,0.9727547931382442,0.9816700610997964,0.964,0.973,0.9461532892502937,0.9725236980269609
3,sgd_adaptive,0.9825,0.9826646854878652,0.9735034347399412,0.992,0.9824999999999999,0.9651742296741037,0.9796410049096955
3,ensemble,0.9905,0.9905519641969169,0.9851632047477745,0.996,0.9904999999999999,0.981059355886601,0.9925202142012242
4,rf,0.998,0.998001998001998,0.9970059880239521,0.999,0.998,0.9960019920059761,0.9976930892849611
4,xgb,0.9985,0.9985007496251874,0.998001998001998,0.999,0.9984999999999999,0.9970004985003739,0.9973653401050059
4,sgd_static,0.9755,0.9751647237709072,0.9886947584789312,0.962,0.9755,0.9513468291403566,0.9734480570373423
4,sgd_adaptive,0.984,0.9841112214498511,0.9773175542406312,0.991,0.984,0.9680948779472861,0.9812055806987501
4,ensemble,0.9965,0.9965087281795512,0.9940298507462687,0.999,0.9964999999999999,0.9930124127327392,0.9939161940936387
5,rf,1.0,1.0,1.0,1.0,1.0,1.0,0.9985005080352247
5,xgb,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.9981125585245256
5,sgd_static,0.9755,0.9750127485976543,0.9947970863683663,0.956,0.9755,0.9517240615780169,0.9739956990834515
5,sgd_adaptive,0.96,0.9585062240663901,0.9956896551724138,0.924,0.96,0.9223939517156461,0.9732608058774241
5,ensemble,0.9975,0.9975012493753124,0.997002997002997,0.998,0.9975,0.9950004975003731,0.9951709634422246
6,rf,0.9985,0.9985022466300549,0.9970089730807578,1.0,0.9984999999999999,0.9970044865302841,0.9985011165434154
6,xgb,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.9985982504972135
6,sgd_static,0.9725,0.9720386375190646,0.9886246122026887,0.956,0.9724999999999999,0.9455149731425049,0.9733107275359162
6,sgd_adaptive,0.9745,0.9742294087923193,0.9846782431052093,0.964,0.9744999999999999,0.9492093237363708,0.9735998168976375
6,ensemble,0.9965,0.9965122072745392,0.9930486593843099,1.0,0.9964999999999999,0.9930243293941089,0.9956403987835347
7,rf,0.996,0.995995995995996,0.996993987975952,0.995,0.996,0.9920019840059521,0.9976243243518187
7,xgb,0.996,0.995995995995996,0.996993987975952,0.995,0.996,0.9920019840059521,0.9976874614217874
7,sgd_static,0.976,0.9757330637007078,0.9867075664621677,0.965,0.976,0.9522304676631369,0.9741585451935932
7,sgd_adaptive,0.982,0.982,0.982,0.982,0.982,0.964,0.9765398809834644
7,ensemble,0.992,0.9920159680638723,0.9900398406374502,0.994,0.992,0.9840078720944653,0.9943718480316529
8,rf,0.9955,0.9955067398901648,0.9940179461615155,0.997,0.9955,0.9910044595301017,0.9968831697902399
8,xgb,0.995,0.9950099800399201,0.9930278884462151,0.997,0.995,0.9900079200950412,0.9967503429381339
8,sgd_static,0.9735,0.9733534439416792,0.9787664307381193,0.968,0.9735,0.9470572986999094,0.9738767597554233
8,sgd_adaptive,0.9805,0.9806835066864784,0.971540726202159,0.99,0.9804999999999999,0.9611735074785633,0.9779901499795194
8,ensemble,0.992,0.9920398009950249,0.9871287128712871,0.997,0.992,0.9840492036903075,0.9935556315688332
9,rf,0.998,0.998001998001998,0.9970059880239521,0.999,0.998,0.9960019920059761,0.9972747596643554
9,xgb,0.9985,0.9985007496251874,0.998001998001998,0.999,0.9984999999999999,0.9970004985003739,0.9973629852786027
9,sgd_static,0.9695,0.9691139240506329,0.9815384615384616,0.957,0.9695,0.9392935751205073,0.9722097672587467
9,sgd_adaptive,0.98,0.9802176063303659,0.9696673189823874,0.991,0.98,0.9602324043661884,0.9787697597023157
9,ensemble,0.992,0.9920477137176938,0.9861660079051383,0.998,0.992,0.9840708556525023,0.9930278603209346
10,rf,0.9945,0.9945137157107232,0.9920398009950249,0.997,0.9944999999999999,0.9890123627318017,0.9963083942805842
10,xgb,0.996,0.9960079840319361,0.9940239043824701,0.998,0.996,0.9920079360952333,0.9968887348422695
10,sgd_static,0.977,0.9768844221105528,0.9818181818181818,0.972,0.977,0.9540477035777981,0.9738458964568789
10,sgd_adaptive,0.977,0.9770687936191426,0.974155069582505,0.98,0.977,0.9540171724636579,0.9781744215732051
10,ensemble,0.9915,0.9915548931942375,0.9851924975320829,0.998,0.9915,0.9830830740297816,0.9925123218265908
11,rf,0.9975,0.9975012493753124,0.997002997002997,0.998,0.9975,0.9950004975003731,0.9967258935637391
11,xgb,0.996,0.996011964107677,0.9930417495029821,0.999,0.996,0.9920178564821264,0.9965818650851621
11,sgd_static,0.9685,0.9681978798586572,0.9775739041794088,0.959,0.9684999999999999,0.9371691743053214,0.9718690906475014
11,sgd_adaptive,0.975,0.9752964426877471,0.9638671875,0.987,0.975,0.9502737182519623,0.9771671289632948
11,ensemble,0.9905,0.9905800694100149,0.9823008849557522,0.999,0.9904999999999999,0.9811417852326895,0.9918360334807892
12,rf,1.0,1.0,1.0,1.0,1.0,1.0,0.9978718308164305
12,xgb,0.999,0.999000999000999,0.998003992015968,1.0,0.999,0.998001996005988,0.9974285619557051
12,sgd_static,0.9795,0.9791983764586504,0.9938208032955715,0.965,0.9795,0.959403514034322,0.9744343406814036
12,sgd_adaptive,0.976,0.9756838905775076,0.9887063655030801,0.963,0.976,0.9523219392323888,0.9766479955282694
12,ensemble,0.9975,0.9974987493746873,0.997997997997998,0.997,0.9975,0.9950004975003731,0.9938179840436536
13,rf,0.4985,0.0,0.0,0.0,0.4985,-0.03875891355636926,0.6486166900306799
13,xgb,0.4995,0.0,0.0,0.0,0.4995,-0.02236627204212922,0.6483285652712084
13,sgd_static,0.4915,0.0,0.0,0.0,0.4915,-0.09258979095890331,0.6333823214429124
13,sgd_adaptive,0.484,0.0,0.0,0.0,0.484,-0.12751534261266767,0.6348211970933753
13,ensemble,0.495,0.0,0.0,0.0,0.495,-0.07088812050083358,0.645981689628375
14,rf,0.499,0.0,0.0,0.0,0.499,-0.03163859985841663,0.421600848519942
14,xgb,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.42141356742628555
14,sgd_static,0.492,0.0,0.0,0.0,0.492,-0.08980265101338746,0.41169850893789317
14,sgd_adaptive,0.99,0.9900990099009901,0.9803921568627451,1.0,0.99,0.9801960588196068,0.7591684315760405
14,ensemble,0.496,0.0,0.0,0.0,0.496,-0.06337242505244779,0.4198880982584438
15,rf,0.4975,0.0,0.0,0.0,0.4975,-0.05006261743217589,0.27404055153796236
15,xgb,0.4975,0.0,0.0,0.0,0.4975,-0.05006261743217589,0.2739188188270857
15,sgd_static,0.4915,0.0,0.0,0.0,0.4915,-0.09258979095890331,0.26760403080963063
