dataset,drift,metric,A,B,n_batches_used,p_value,p_holm,significant,median_diff(A-B),mean_diff(A-B),cliffs_delta
kdd,gradual,f1,ensemble,rf,30,0.006650218449416266,0.033195845782756805,True,0.025598675895008638,0.05181954342360798,0.16444444444444445
kdd,gradual,f1,ensemble,sgd_static,30,3.7904828786849976e-06,0.00012508593499660492,True,0.005496458309558416,0.0055155666318963,0.26
kdd,gradual,f1,ensemble,xgb,30,0.00011344208782405441,0.0028360521956013606,True,0.11623573042480378,0.08693236569959036,0.29777777777777775
kdd,gradual,f1,sgd_adaptive,sgd_static,30,6.0435525993233764e-05,0.0015713236758240778,True,0.21464514696702786,0.125595780944027,0.5922222222222222
kdd,incremental,f1,ensemble,rf,30,0.00510443433770242,0.033195845782756805,True,0.03707846196537551,0.05241520424845187,0.1711111111111111
kdd,incremental,f1,ensemble,sgd_static,30,0.5291051845997572,0.5291051845997572,False,0.0004466181786523249,-0.008317934000438258,0.10888888888888888
kdd,incremental,f1,ensemble,xgb,30,0.00011344208782405441,0.0028360521956013606,True,0.3401012920489741,0.19818283318604918,0.3244444444444444
kdd,incremental,f1,sgd_adaptive,sgd_static,30,2.6026076788230615e-05,0.0007027040732822266,True,0.2877034478209182,0.15741452129915304,0.7388888888888889
kdd,sudden,f1,ensemble,rf,30,0.00031334512501310336,0.006893592750288274,True,-0.0009044993415244784,-0.009697183974958471,-0.11555555555555555
kdd,sudden,f1,ensemble,sgd_static,30,1.7333066441991056e-06,5.893242590276959e-05,True,0.6137855306830375,0.35799368818016375,0.48444444444444446
kdd,sudden,f1,ensemble,xgb,30,0.00011344208782405441,0.0028360521956013606,True,0.2942759610465938,0.17127404384499859,0.32222222222222224
kdd,sudden,f1,sgd_adaptive,sgd_static,30,7.2296055077611124e-06,0.0002241177707405945,True,0.9859727437418614,0.5500651920832446,0.7766666666666666
netflow,gradual,f1,ensemble,rf,30,0.0014737808438751421,0.030949397721377985,True,0.0,-0.0017523336412859228,-0.1411111111111111
netflow,gradual,f1,ensemble,sgd_static,30,0.0014737808438751421,0.030949397721377985,True,0.0,0.008732888937937992,0.18777777777777777
netflow,gradual,f1,ensemble,xgb,30,0.0014737808438751421,0.030949397721377985,True,0.0,-0.001652748936721582,-0.11888888888888889
netflow,gradual,f1,sgd_adaptive,sgd_static,30,1.7252161027884986e-05,0.0005003126698086646,True,0.990835325476028,0.5341302813471565,0.88
netflow,incremental,f1,ensemble,rf,30,0.0014737808438751421,0.030949397721377985,True,0.0,-0.0017523336412859228,-0.1411111111111111
netflow,incremental,f1,ensemble,sgd_static,30,0.0014737808438751421,0.030949397721377985,True,0.0,0.008732888937937992,0.18777777777777777
netflow,incremental,f1,ensemble,xgb,30,0.0014737808438751421,0.030949397721377985,True,0.0,-0.001652748936721582,-0.11888888888888889
netflow,incremental,f1,sgd_adaptive,sgd_static,30,1.3890382088369839e-05,0.00041671146265109517,True,0.9980049860408784,0.534975026477085,0.88
netflow,sudden,f1,ensemble,rf,30,0.0036076559461326605,0.033195845782756805,True,0.0168052935599581,0.013356118506655534,0.18
netflow,sudden,f1,ensemble,sgd_static,30,0.0027663204818964005,0.033195845782756805,True,-0.08091192414145765,-0.04408963247745286,-0.13333333333333333
netflow,sudden,f1,ensemble,xgb,30,0.0036076559461326605,0.033195845782756805,True,0.0168052935599581,0.013455703211219876,0.20222222222222222
netflow,sudden,f1,sgd_adaptive,sgd_static,30,1.7690715793287562e-05,0.0005003126698086646,True,0.8516483516483516,0.4709266040755706,0.8922222222222222
nsl,gradual,f1,ensemble,rf,30,0.0027663204818964005,0.033195845782756805,True,0.20158642174873154,0.17192425816643656,0.16444444444444445
nsl,gradual,f1,ensemble,sgd_static,30,3.725290298461914e-09,1.341104507446289e-07,True,0.009795298449936318,0.020992932715154275,0.3088888888888889
nsl,gradual,f1,ensemble,xgb,30,0.005382779985666275,0.033195845782756805,True,0.033119388873543765,0.04003848935707517,0.15777777777777777
nsl,gradual,f1,sgd_adaptive,sgd_static,30,0.0022157140229893363,0.030949397721377985,True,0.03815987739835619,0.0378202418332649,0.39666666666666667
nsl,incremental,f1,ensemble,rf,30,0.0027663204818964005,0.033195845782756805,True,0.8920385384473993,0.5075877803703481,0.16444444444444445
nsl,incremental,f1,ensemble,sgd_static,30,0.0021877754479646683,0.030949397721377985,True,0.0052450772039603355,-0.0018327506050282623,0.29333333333333333
nsl,incremental,f1,ensemble,xgb,30,0.0018640067428350449,0.030949397721377985,True,0.22190455826609656,0.1727655964411316,0.2
nsl,incremental,f1,sgd_adaptive,sgd_static,30,0.0780201614093598,0.1560403228187196,False,0.003573766329783623,0.011620900384868228,0.3477777777777778
nsl,sudden,f1,ensemble,rf,30,0.0027663204818964005,0.033195845782756805,True,0.46204457163694257,0.27004207980319156,0.16444444444444445
nsl,sudden,f1,ensemble,sgd_static,30,4.421919584274292e-06,0.00014150142669677734,True,0.009747171672741362,0.0002442847992553121,0.4288888888888889
nsl,sudden,f1,ensemble,xgb,30,2.60770320892334e-08,9.126961231231689e-07,True,-0.00528385931271419,-0.014712043390060374,-0.3977777777777778
nsl,sudden,f1,sgd_adaptive,sgd_static,30,0.04786974703376418,0.14360924110129256,False,0.003573766329783623,-0.004472577642524874,0.47444444444444445
